id,llm_error,varierr_error
23751e,"[""n"", ""c"", ""e""]",[]
61429c,"[""n"", ""c"", ""e""]",[]
54811c,"[""n"", ""c"", ""e""]","[""contradiction""]"
12601n,"[""n"", ""c"", ""e""]",[]
38477c,"[""n"", ""c"", ""e""]",[]
1735n,"[""n"", ""c"", ""e""]","[""neutral""]"
7449e,"[""n"", ""c"", ""e""]","[""entailment""]"
24385e,"[""n"", ""c"", ""e""]",[]
49807n,"[""n"", ""c"", ""e""]",[]
138448c,"[""n"", ""c"", ""e""]",[]
48454c,"[""n"", ""c"", ""e""]","[""contradiction""]"
73260n,"[""n"", ""c"", ""e""]","[""entailment""]"
76219n,"[""n"", ""c"", ""e""]",[]
10229n,"[""n"", ""c"", ""e""]",[]
99791n,"[""n"", ""c"", ""e""]",[]
13964e,"[""n"", ""c"", ""e""]",[]
66185c,"[""n"", ""c"", ""e""]","[""contradiction""]"
65066n,"[""n"", ""c"", ""e""]",[]
76020e,"[""c"", ""e""]",[]
83248c,"[""n"", ""c"", ""e""]","[""neutral""]"
79141n,"[""n"", ""c"", ""e""]",[]
97926n,"[""n"", ""c"", ""e""]",[]
45957e,"[""n"", ""c"", ""e""]",[]
24126n,"[""n"", ""c"", ""e""]","[""entailment""]"
135251n,"[""n"", ""c"", ""e""]",[]
48223n,"[""n"", ""c"", ""e""]",[]
73518n,"[""n"", ""c"", ""e""]",[]
16996e,"[""n"", ""c"", ""e""]","[""contradiction""]"
69815n,"[""n"", ""c"", ""e""]",[]
35809n,"[""n"", ""c"", ""e""]",[]
30282n,"[""n"", ""c"", ""e""]",[]
142430c,"[""n"", ""c"", ""e""]",[]
127290n,"[""n"", ""c"", ""e""]",[]
100792c,"[""n"", ""c"", ""e""]","[""entailment"", ""neutral""]"
75572n,"[""n"", ""c"", ""e""]",[]
22235n,"[""n"", ""c"", ""e""]",[]
40486n,"[""n"", ""c"", ""e""]",[]
13133n,"[""n"", ""c"", ""e""]",[]
94674c,"[""n"", ""c"", ""e""]",[]
101525c,"[""n"", ""c"", ""e""]",[]
145495c,"[""n"", ""c"", ""e""]",[]
93357c,"[""n"", ""c"", ""e""]",[]
42388e,"[""n"", ""c"", ""e""]",[]
22587e,"[""n"", ""c"", ""e""]",[]
131261n,"[""n"", ""c"", ""e""]",[]
51353c,"[""n"", ""c"", ""e""]",[]
10547c,"[""n"", ""c"", ""e""]",[]
136360e,"[""n"", ""c"", ""e""]",[]
113193n,"[""n"", ""c"", ""e""]","[""entailment""]"
120955n,"[""n"", ""c"", ""e""]","[""contradiction""]"
88188e,"[""n"", ""c"", ""e""]",[]
138966n,"[""n"", ""c"", ""e""]","[""contradiction""]"
48222n,"[""n"", ""c"", ""e""]",[]
18428n,"[""n"", ""c"", ""e""]",[]
116059n,"[""n"", ""c"", ""e""]",[]
67610c,"[""n"", ""c"", ""e""]",[]
95186n,"[""n"", ""c"", ""e""]",[]
77875e,"[""n"", ""c"", ""e""]",[]
65879c,"[""n"", ""c"", ""e""]",[]
86331e,"[""n"", ""c""]",[]
65130n,"[""n"", ""c"", ""e""]","[""contradiction""]"
19578n,"[""n"", ""c"", ""e""]",[]
83657c,"[""n"", ""c"", ""e""]",[]
102817c,"[""n"", ""c"", ""e""]","[""contradiction""]"
124590c,"[""n"", ""c"", ""e""]",[]
96583n,"[""n"", ""c"", ""e""]",[]
132525n,"[""n"", ""c"", ""e""]",[]
11362e,"[""n"", ""c"", ""e""]",[]
107468n,"[""n"", ""c"", ""e""]","[""entailment""]"
145047e,"[""n"", ""c"", ""e""]",[]
55888c,"[""n"", ""c"", ""e""]",[]
138285n,"[""n"", ""c"", ""e""]",[]
57454c,"[""n"", ""c"", ""e""]",[]
